Rank,Country,Population (2024),Yearly Change,Net Change,Density (P/Km≤),Land Area (Km≤),Migrants (net),Fert. Rate,Med. Age,Urban Pop %
1,India,1450935791,0.0089,12866195,488.00,2973190,-630830,2,28,0.37
2,China,1419321278,-0.0023,-3263655,151.00,9388211,-318992,1,40,0.66
3,United States,345426571,0.0057,1949236,38.00,9147420,1286132,1.6,38,0.82
4,Indonesia,283487931,0.0082,2297864,156.00,1811570,-38469,2.1,30,0.59
5,Pakistan,251269164,0.0152,3764669,326.00,770880,-1401173,3.5,20,0.34
6,Nigeria,232679478,0.021,4796533,255.00,910770,-35202,4.4,18,0.54
7,Brazil,211998573,0.0041,857844,25.00,8358140,-225510,1.6,34,0.91
8,Bangladesh,173562364,0.0122,2095374,1333.00,130170,-473362,2.1,26,0.42
9,Russia,144820423,-0.0043,-620077,9.00,16376870,-178042,1.5,40,0.75
10,Ethiopia,132059767,0.0262,3368075,132.00,1000000,30069,3.9,19,0.22
11,Mexico,130861007,0.0086,1121248,67.00,1943950,-104581,1.9,29,0.87
12,Japan,123753041,-0.005,-617906,339.00,364555,153357,1.2,49,0.93
13,Egypt,116538258,0.0175,2002486,117.00,995450,123884,2.7,24,0.41
14,Philippines,115843670,0.0083,952471,389.00,298170,-160373,1.9,26,0.49
15,DR Congo,109276265,0.033,3486534,48.00,2267050,-26968,6,16,0.44
16,Vietnam,100987686,0.0063,635494,326.00,310070,-59645,1.9,33,0.41
17,Iran,91567738,0.0106,959031,56.00,1628550,190156,1.7,33,0.73
18,Turkey,87473805,0.0023,203304,114.00,769630,-275952,1.6,33,0.76
19,Germany,84552242,0,4011,243.00,348560,36954,1.4,45,0.76
20,Thailand,71668011,-0.0005,-34424,140.00,510890,23321,1.2,40,0.53
21,United Kingdom,69138192,0.0066,455230,286.00,241930,417114,1.6,40,0.84
22,Tanzania,68560157,0.0292,1942551,77.00,885800,-29865,4.5,17,0.39
23,France,66548530,0.0017,109708,122.00,547557,90527,1.6,42,0.82
24,South Africa,64007187,0.0126,794803,53.00,1213090,166972,2.2,28,0.66
25,Italy,59342867,-0.0026,-156586,202.00,294140,95246,1.2,48,0.72
26,Kenya,56432944,0.0198,1093941,99.00,569140,-19781,3.2,20,0.31
27,Myanmar,54500091,0.0068,366293,83.00,653290,-37979,2.1,30,0.34
28,Colombia,52886363,0.0108,565211,48.00,1109500,141643,1.6,32,0.81
29,South Korea,51717590,-0.0006,-31149,532.00,97230,75963,0.7,45,0.82
30,Sudan,50448963,0.0081,406172,29.00,1765048,-544257,4.3,18,0.35
31,Uganda,50015092,0.0279,1358491,250.00,199810,-117924,4.2,17,0.29
32,Spain,47910526,0,-1053,96.00,498800,111674,1.2,45,0.79
33,Algeria,46814308,0.0141,650089,20.00,2381740,-31240,2.7,28,0.74
34,Iraq,46042015,0.0215,967966,106.00,434320,-17735,3.2,21,0.72
35,Argentina,45696159,0.0035,157758,17.00,2736690,3454,1.5,33,0.95
36,Afghanistan,42647492,0.0288,1192731,65.00,652860,-44089,4.8,17,0.27
37,Yemen,40583164,0.0303,1192365,77.00,527970,-10482,4.5,18,0.33
38,Canada,39742430,0.0113,443325,4.00,9093510,368599,1.3,40,0.8
39,Poland,38539201,-0.0058,-223643,126.00,306230,-238062,1.3,42,0.59
40,Morocco,38081173,0.0098,368668,85.00,446300,-46802,2.2,30,0.67
41,Angola,37885849,0.0309,1135943,30.00,1246700,-2629,5,17,0.68
42,Ukraine,37860221,0.0034,127385,65.00,579320,1146012,1,42,0.79
43,Uzbekistan,36361859,0.0199,709552,85.00,425400,-7066,3.5,27,0.48
44,Malaysia,35557673,0.0123,431375,108.00,328550,174770,1.5,31,0.77
45,Mozambique,34631766,0.0296,996606,44.00,786380,-38940,4.7,16,0.41
46,Ghana,34427414,0.0189,639500,151.00,227540,-13114,3.3,21,0.58
47,Peru,34217848,0.011,372231,27.00,1280000,18406,2,30,0.8
48,Saudi Arabia,33962757,0.021,698465,16.00,2149690,122170,2.3,30,0.92
49,Madagascar,31964956,0.0247,769024,55.00,581795,-1795,3.9,19,0.4
50,C√¥te d'Ivoire,31934230,0.0247,768576,100.00,318000,7838,4.2,18,0.49
51,Nepal,29651054,-0.0015,-43560,207.00,143350,-401282,2,25,0.24
52,Cameroon,29123744,0.0265,751057,62.00,472710,-13892,4.3,18,0.59
53,Venezuela,28405543,0.0037,104689,32.00,882050,-105297,2.1,29,N.A.
54,Niger,27032412,0.0334,872545,21.00,1266700,-4041,5.9,15,0.18
55,Australia,26713205,0.0099,262081,3.00,7682300,138510,1.6,38,0.86
56,North Korea,26498823,0.0031,80619,220.00,120410,-2473,1.8,36,0.63
57,Syria,24672760,0.0457,1078137,134.00,183630,546494,2.7,23,0.53
58,Mali,24478595,0.0298,709468,20.00,1220190,-46880,5.5,16,0.44
59,Burkina Faso,23548781,0.0227,523005,86.00,273600,-25807,4.1,17,0.33
60,Taiwan,23213962,-0.0044,-103183,656.00,35410,-25832,0.9,44,0.83
61,Sri Lanka,23103565,0.0057,131948,368.00,62710,-27245,2,33,0.18
62,Malawi,21655286,0.0261,550804,230.00,94280,-1507,3.6,18,0.19
63,Zambia,21314956,0.0285,590991,29.00,743390,7381,4,18,0.46
64,Kazakhstan,20592571,0.0129,262467,8.00,2699700,-7368,3,30,0.55
65,Chad,20299123,0.0507,980059,16.00,1259200,204040,6,16,0.22
66,Chile,19764771,0.0054,105936,27.00,743532,58316,1.1,36,0.85
67,Romania,19015088,-0.0054,-103391,83.00,230170,-28466,1.7,43,0.55
68,Somalia,19009151,0.0354,650536,30.00,627340,26859,6,16,0.46
69,Senegal,18501984,0.0235,424411,96.00,192530,-10307,3.8,19,0.52
70,Guatemala,18406359,0.0155,281521,172.00,107160,-7725,2.3,23,0.56
71,Netherlands,18228742,0.0075,136218,541.00,33720,121628,1.4,41,0.89
72,Ecuador,18135478,0.0086,155395,73.00,248360,-19704,1.8,29,0.65
73,Cambodia,17638801,0.0123,214921,100.00,176520,-32960,2.5,26,0.26
74,Zimbabwe,16634373,0.018,293551,43.00,386850,-60528,3.7,18,0.38
75,Guinea,14754785,0.0242,349317,60.00,245720,-12024,4.1,18,0.4
76,Benin,14462724,0.0249,351690,128.00,112760,-7725,4.5,18,0.47
77,Rwanda,14256567,0.0216,302096,578.00,24670,-15582,3.6,20,0.18
78,Burundi,14047786,0.0262,358336,547.00,25680,-27074,4.8,16,0.14
79,Bolivia,12413315,0.0138,169156,11.00,1083300,-3000,2.5,25,0.7
80,Tunisia,12277109,0.0063,76678,79.00,155360,-15221,1.8,33,0.71
81,South Sudan,11943408,0.0401,460034,20.00,610952,15374,3.8,18,0.27
82,Haiti,11772557,0.0116,135159,427.00,27560,-31747,2.6,24,0.61
83,Belgium,11738763,0.0022,25870,388.00,30280,36243,1.4,42,0.99
84,Jordan,11552876,0.0099,113663,130.00,88780,-156369,2.6,25,0.84
85,Dominican Republic,11427557,0.0085,96292,236.00,48320,-34806,2.2,28,0.86
86,United Arab Emirates,11027129,0.0362,385048,132.00,83600,278439,1.2,32,0.82
87,Cuba,10979783,-0.0036,-40148,103.00,106440,-22356,1.4,42,0.81
88,Honduras,10825703,0.017,180852,97.00,111890,-4821,2.5,24,0.58
89,Czech Republic (Czechia),10735859,-0.0068,-73857,139.00,77240,-86169,1.5,43,0.74
90,Sweden,10606999,0.0053,55505,26.00,410340,50115,1.4,40,0.87
91,Tajikistan,10590927,0.0194,201128,76.00,139960,-21236,3,22,0.27
92,Papua New Guinea,10576502,0.018,186867,23.00,452860,-707,3.1,23,0.12
93,Portugal,10425292,-0.0005,-5446,114.00,91590,20648,1.5,47,0.66
94,Azerbaijan,10336577,0.0018,18370,125.00,82658,10864,1.7,33,0.58
95,Greece,10047817,-0.019,-195091,78.00,128900,-122772,1.3,46,0.88
96,Hungary,9676135,-0.0011,-10328,107.00,90530,16223,1.5,44,0.72
97,Togo,9515236,0.0227,210899,175.00,54390,-14014,4.1,19,0.44
98,Israel,9387021,0.0141,130707,434.00,21640,10612,2.8,29,0.91
99,Austria,9120813,-0.0011,-9616,111.00,82409,8813,1.3,43,0.58
100,Belarus,9056696,-0.0065,-58984,45.00,202910,-3119,1.2,41,0.84
101,Switzerland,8921981,0.0058,51420,226.00,39516,40099,1.4,43,0.74
102,Sierra Leone,8642022,0.0215,181510,120.00,72180,-11000,3.7,19,0.45
103,Laos,7769819,0.0137,104826,34.00,230800,-10284,2.4,25,0.38
104,Turkmenistan,7494498,0.0177,130060,16.00,469930,14646,2.7,27,0.46
105,Hong Kong,7414909,-0.0037,-27825,7062.00,1050,-19272,0.7,47,N.A.
106,Libya,7381023,0.0103,75364,4.00,1759540,3448,2.3,27,0.77
107,Kyrgyzstan,7186009,0.0159,112493,37.00,191800,3645,2.8,25,0.35
108,Paraguay,6929153,0.0124,85007,17.00,397300,-12451,2.4,27,0.68
109,Nicaragua,6916140,0.0136,92527,57.00,120340,-8189,2.2,26,0.58
110,Bulgaria,6757689,-0.0056,-38114,62.00,108560,524,1.7,45,0.77
111,Serbia,6736216,-0.0055,-36985,77.00,87460,-8132,1.5,44,0.73
112,El Salvador,6338193,0.0045,28569,306.00,20720,-23102,1.8,27,0.79
113,Congo,6332961,0.0243,150076,19.00,341500,-2491,4.1,18,0.69
114,Denmark,5977412,0.0049,29276,141.00,42430,25639,1.5,41,0.87
115,Singapore,5832387,0.0075,43297,8332.00,700,20011,1,36,N.A.
116,Lebanon,5805962,0.0056,32469,568.00,10230,-17267,2.2,29,0.88
117,Finland,5617310,0.0029,16125,18.00,303890,26894,1.3,43,0.86
118,Liberia,5612817,0.0218,119786,58.00,96320,-7779,3.9,19,0.54
119,Norway,5576660,0.0104,57493,15.00,365268,44356,1.4,40,0.86
120,Slovakia,5506760,-0.002,-11295,115.00,48088,-21027,1.6,42,0.54
121,State of Palestine,5495443,0.0159,86241,913.00,6020,-23145,3.3,20,0.83
122,Central African Republic,5330690,0.0346,178269,9.00,622980,-15357,6,14,0.44
123,Oman,5281538,0.046,232269,17.00,309500,154219,2.5,29,0.93
124,Ireland,5255017,0.0112,58387,76.00,68890,39059,1.6,39,0.62
125,New Zealand,5213944,0.0079,41108,20.00,263310,18766,1.7,38,0.83
126,Mauritania,5169395,0.0293,146954,5.00,1030700,-2185,4.6,17,0.6
127,Costa Rica,5129910,0.0048,24385,100.00,51060,967,1.3,35,0.84
128,Kuwait,4934507,0.0198,95725,277.00,17820,61624,1.5,35,0.92
129,Panama,4515577,0.0127,56818,61.00,74340,6706,2.1,30,0.7
